Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2454398.87069 -0.87 1.3 0.1546 0.03242 88927 0
2454398.8713 2.14 1.38 0.1524 0.03245 84176 0
2454398.8719 -4.17 1.4 0.1535 0.03251 84061 0
2454429.79343 -0.55 1.37 0.16 0.03237 75268 3
2454429.79401 -1.42 1.25 0.1594 0.03235 96744 4
2454429.79455 -0.46 1.32 0.1544 0.03236 84961 3
2454430.79023 1.86 1.37 0.1521 0.0324 79781 6
2454430.79081 1.92 1.3 0.1582 0.03244 101202 0
2454430.79148 0.01 1.33 0.1566 0.03245 87585 4
2454454.81254 -1.17 1.56 0.1551 0.03238 74781 8
2454454.81318 0.04 1.43 0.1618 0.03238 81083 14
2454455.80621 1.75 1.4 0.1546 0.0324 88025 3
2454455.80678 2.27 1.23 0.1518 0.03251 115056 5
2454455.80735 0.34 1.37 0.1515 0.03244 81332 0
2454456.83694 1.13 1.42 0.1612 0.0324 83142 5
2454456.83752 2.56 1.34 0.1638 0.0324 81200 4
2454456.83817 0.1 1.41 0.1641 0.03242 94338 0
2454458.81345 -2.97 1.31 0.1494 0.03246 61849 0
2454458.81401 0.27 1.56 0.1586 0.0324 52316 2
2454458.81457 -0.51 1.43 0.1583 0.03249 53139 2
2454460.79017 -1.89 1.49 0.1557 0.03239 60667 0
2454460.79075 1.64 1.32 0.1607 0.03238 56334 0
2454460.79133 -1.3 1.45 0.1595 0.03241 50821 0
2454461.80207 0.87 1.51 0.1507 0.03237 51648 0
2454461.80267 -0.82 1.53 0.1487 0.03236 52350 0
2454461.80327 6.91 1.59 0.1486 0.03237 43300 0
2454464.81845 -4.13 1.26 0.168 0.03237 97666 0
2454492.71056 1.97 1.28 0.1581 0.03239 58197 0
2454492.71111 2.07 1.31 0.1609 0.03237 48848 0
2454492.71168 5.53 1.38 0.1583 0.03237 52450 0
2454672.13351 -3.22 1.29 0.1585 0.03237 76906 10
2454672.13414 3.13 1.38 0.1581 0.03239 74409 12
2454672.13502 -0.81 1.43 0.157 0.03243 80629 7
2454675.04434 -5.01 1.24 0.1586 0.03251 65248 2
2454675.04487 -4.47 1.31 0.1556 0.03253 69911 2
2454675.0454 -0.09 1.34 0.1573 0.03256 76321 2
2454689.01035 -3.08 1.18 0.158 0.03256 64433 2
2454689.01088 -4.31 1.54 0.1562 0.03249 48383 2
2454689.01141 0.12 1.47 0.1603 0.03246 60390 3
