Time RV eRV 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8 c3AP2-1
57769.831632 427.815697097072 12.6294504238803 -809.53403220286 -1560.91545146487 16.0667473701501 -169.08197397522 -1116.20006295259 -934.642014230312 -397.775103994237 -504.95974883786 57.1700719406099 -485.72629816001 336.35082536993 -1069.50933112068 -821.752497995279 -288.254204433035 344.744049015613 0
57769.836575 347.873587213725 12.4881009109988 -887.23281235905 -1520.69801296254 -152.98556460943 -314.30641294056 -865.13522376795 -951.196639302501 -492.640698155408 -776.31926123329 134.93900881491 -644.4924882467 412.82840122776 -933.123268163173 -876.657541764522 -277.936888082302 292.924621547493 0
57769.866219 398.860691179804 12.2570958127618 -848.17116137805 -1309.37701735664 -337.07375861624 -153.84653967119 -938.569202112802 -780.958164923019 -330.34212199626 -897.96359250133 29.09554892703 -520.64038457973 464.95871834138 -999.440213875173 -730.104024971823 -173.646217130938 325.055299672598 0
57769.871161 326.526442485448 12.1368615328561 -776.58563258091 -1302.83737109419 -121.64853187568 -245.35019421214 -814.477614409757 -805.965984328674 -394.652386692164 -835.64985134452 174.2341052563 -556.54244501626 372.790150907 -816.025472702035 -828.546788394346 -144.817908978299 241.792583277541 0
57769.876243 328.015740472437 12.2487034049312 -669.29449524609 -1310.48443845685 -118.33757439342 -103.93944436248 -887.650856767336 -778.566357858518 -361.0073060659 -912.98259873236 268.17701362088 -522.55194361142 429.8353827067 -835.320909906425 -914.394528681582 -74.9567322031318 350.322111342447 0
57770.824034 -3053.43438072972 16.1758568350983 456.431594890651 6257.17302199629 -1340.60945715838 122.57002497935 1608.84009914098 5413.17175924196 332.188055830502 -2269.12273071161 86.8926309616891 -329.62951765644 673.61957895687 2297.69451693527 3434.78610381731 1443.29353703605 132.184193862745 0
57770.828826 -3201.35732865898 16.1462231048561 776.37291097286 6274.84654503715 -620.23043912798 119.477108443041 1595.76217707185 5411.48162122298 359.884028909545 -1259.10858740158 115.361507116819 -223.84970822691 281.927013310171 2677.1181624957 3222.15873661478 1600.83947911198 44.0721982389369 0
57770.833908 -3210.76546757088 16.7370177299244 872.89164425209 6313.04321580285 -534.56372841261 159.93025567181 1616.77027650116 5437.09716008708 395.101281173283 -1243.05224959424 261.0095601141 -396.853572691562 885.11269089778 2034.24599707573 3305.76096715401 1783.00815196483 97.180755938426 0
57770.838897 -3254.72030394392 16.6770583914783 936.2915874542 6352.40281995622 -720.44943574609 335.694359675321 1571.77551441919 5558.85661812813 281.750949284194 -1441.24031324611 184.89242893644 -95.3250610324903 446.418275404531 2486.28838787697 3372.72920950978 1607.25651639678 47.833280448407 0
57770.843781 -3110.53726591868 15.8754388840475 983.393931360551 6400.12254291396 -477.201652772879 224.21226851344 1669.18158580904 5520.20905203143 344.318388857611 -1323.36173828316 204.520078617161 -172.87630423293 651.759258315889 2353.18460745811 3406.92302393795 1577.8785368855 221.673576079277 0
57770.848955 -2988.56820467869 14.7318114624039 890.471736137501 6523.85779398276 -428.053030642011 -13.934360406809 1889.54320993951 5606.03870555644 245.26261246378 -989.268914656081 24.3783805065104 -315.13371853651 524.03378249012 2727.84399276838 3414.46130546602 1523.506990849 98.4198308572461 0
57770.85362 -3011.2652817036 15.0989354909016 915.985638815299 6571.95862112583 -419.998628517851 48.6978862743799 1809.54994915418 5659.89699423734 299.615483298192 -1158.51441471734 277.662476796559 -368.736650397559 541.09825115865 2606.4577995649 3505.48355778177 1571.90355560565 63.146253403116 0
57770.859118 -3062.50537160086 15.842008744626 905.338529468259 6653.78535460964 -644.331032654959 73.0231344213789 1893.89465079364 5771.71938195443 203.210455965254 -1395.20538311746 131.262537413812 -285.012885472321 469.24014970863 2839.96505598724 3449.84473845504 1616.10141586736 37.135770839536 0
57770.863829 -3011.8060565424 14.2981117650321 768.836784770091 6776.62139989254 -592.313535679739 11.1699024759891 1767.509876663 5885.99277553207 305.259133308609 -1280.21426400777 112.131122699291 -370.652357244051 370.99140115027 2927.50851114986 3525.65746707899 1618.47759493658 163.216233790336 0
57770.868807 -2994.47846195147 14.1334820220438 827.18885784443 6766.05723550915 -601.49589399159 107.29461360727 1729.80005966146 5851.09041324349 355.210540013066 -1384.43989511242 108.565192707931 -329.42460460499 565.214541978919 2789.04104404539 3246.62323311909 1941.16539230786 100.563515024079 0
57770.873703 -2983.34323408353 14.6210187541373 864.83270917436 6942.71643092926 -589.736592496349 144.99054998294 1705.19878626047 6082.89071016422 264.594919731187 -1499.87095356886 221.485067806019 -417.80634984716 852.732161350021 2429.91231298718 3735.02442576122 1731.87950514798 98.875525460611 0
57771.862182 -8575.17951623967 15.2372727845604 429.375559578901 22237.5068648461 -1554.2536455745 57.101523308098 1914.3238180573 21513.6825345314 -118.66224521611 -2613.5275348442 178.258976675501 -372.1983304801 774.806084583699 2456.007504081 13666.2320670696 8014.05496165124 -1405.79352813369 0
57771.867032 -8439.19825497353 15.3308509603765 851.361675701697 22136.3044382933 -1352.0267376958 312.962855334299 2003.5665911409 21356.6732019894 -90.93708880451 -2382.8619923282 146.007438876801 -105.0829812417 653.346901284898 2793.5452263598 13375.4363153223 7980.65398865327 -1115.51339150328 0
57771.872148 -8436.61915122383 15.7031744808246 617.022903131197 22430.8410386538 -1426.7297817894 145.419089949097 1912.0405519635 21765.0344318452 -244.57269881844 -2455.6609566651 19.3702773998011 -231.077489818301 613.413722825302 2744.7737062951 13581.6699488888 8131.11383716019 -1271.71599276473 0
57771.876998 -8761.61220963376 15.8880184277705 678.505601781599 22318.7836074543 -1644.6878361584 155.528415514 2216.3512637958 21463.1908276914 -85.3193461146002 -2801.0504688574 217.2394934935 -277.825613474 801.676015244899 2807.337570787 13351.115975332 8189.09810601821 -1510.21356103107 0
57771.882125 -8414.34945632841 17.2393577237209 627.410481664698 22648.4764061741 -1598.5578368138 16.7443017100013 2262.851458683 21880.6999159032 -324.2599333062 -2792.7427403333 220.412294442802 -341.039750245 907.8254403418 2494.2910227366 13246.3073042509 8777.21325818 -1868.39704844512 0
57772.807879 -16330.0925327105 15.9540010458797 1761.3909358315 35364.3055144904 -2315.691791938 349.458965530197 4652.4149640582 32350.5484891972 1726.64949817741 -3441.0986028805 -62.060606321902 -29.7823458442945 456.114408823894 7473.2198923394 21519.7474042987 10644.1003959582 -759.94979512231 0
57772.812961 -16335.4003438363 15.8943556429212 1521.571684177 35545.1102238446 -2515.6502592324 101.926842949499 4870.050122034 32338.1883509294 1872.44918705612 -3819.6535119867 90.4628934838038 -230.933296003401 484.900428268898 7450.7329201557 21525.9918919459 10824.6160813153 -639.40878886993 0
